Institución;Grupo;Nombre;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 129;2;2;1;2;1;1;1;1;1;1;1;1;1;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 130;1;2;2;2;1;1;2;1;2;1;1;2;0;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 131;2;2;1;2;1;1;2;1;1;1;2;3;1;1;3
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 132;2;2;1;2;1;1;1;1;1;1;2;1;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 133;2;2;1;2;1;1;1;1;1;1;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 134;1;2;1;2;1;1;1;2;1;1;1;2;1;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 135;2;2;2;2;2;1;1;1;1;1;2;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 136;2;1;1;2;2;2;2;2;2;2;2;1;2;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 137;2;2;1;2;1;2;2;1;1;1;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 138;2;2;2;2;1;1;1;1;1;1;1;1;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 139;2;2;2;2;1;1;1;1;1;1;1;3;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 140;2;2;2;2;2;1;1;1;1;1;1;1;1;1;3
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 141;2;2;1;1;1;1;1;1;1;1;2;2;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 142;2;2;2;2;2;1;1;1;1;1;1;2;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 143;2;2;2;2;1;1;1;1;1;1;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 144;2;2;1;2;1;1;1;1;1;1;1;2;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 145;2;2;1;2;1;1;1;1;1;1;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;1";Estudiante 146;2;2;1;1;1;1;1;1;2;1;2;2;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 147;2;2;2;2;1;2;1;1;1;1;2;3;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 148;2;1;1;2;1;2;1;1;1;2;1;1;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 149;1;2;2;2;2;1;1;1;1;1;1;2;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 150;1;2;1;2;1;1;2;1;1;1;2;2;1;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 151;2;1;1;1;2;1;2;2;1;1;2;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 152;1;2;2;2;1;1;1;1;1;1;2;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 153;1;2;1;2;2;1;1;2;1;1;2;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 154;1;2;1;2;1;1;1;1;1;1;2;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 155;2;2;1;2;1;1;1;1;1;1;2;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 156;1;2;2;2;1;2;1;2;1;1;1;2;2;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 157;1;1;0;0;2;1;1;1;0;1;2;1;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 158;2;2;1;2;1;2;1;1;2;1;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 159;1;2;1;2;1;1;2;1;1;2;2;2;2;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 160;2;2;1;2;2;1;2;1;1;1;2;2;1;1;1
